,ing_name,serving_size,vitamin_a,vitamin_d,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,vitamin_b12,folic_acid,calcium,irom,protein,zink
534,brown sugar,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.000 mg,0.110 mg,0.041 mg,0.00 mcg,0.00 mcg,83.00 mg,0.71 mg,0.12 g,0.03 mg
57,plain flour,100 g,0.00 IU,0.00 IU,0,0.0 mg,0.457 mg,0.172 mg,11.499 mg,0.304 mg,0.00 mcg,0.00 mcg,130.00 mg,4.74 mg,33.80 g,5.99 mg
2938,baking powder,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,4332.00 mg,8.17 mg,0.10 g,0.72 mg
695,ground cinnamon,100 g,0.00 IU,2.00 IU,0.14 mg,0.0 mg,0.100 mg,0.250 mg,6.700 mg,0.140 mg,2.61 mcg,0.00 mcg,22.00 mg,1.79 mg,24.75 g,4.67 mg
475,vanilla extract,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.011 mg,0.095 mg,0.425 mg,0.026 mg,0.00 mcg,0.00 mcg,11.00 mg,0.12 mg,0.06 g,0.11 mg
277,carrots,100 g,13790.00 IU,0.00 IU,0,2.6 mg,0.030 mg,0.036 mg,0.556 mg,0.105 mg,0.00 mcg,0.00 mcg,32.00 mg,0.89 mg,0.64 g,0.17 mg
367,raisins,100 g,0.00 IU,0.00 IU,0.12 mg,2.3 mg,0.106 mg,0.125 mg,0.766 mg,0.174 mg,0.00 mcg,0.00 mcg,50.00 mg,1.88 mg,3.07 g,0.22 mg
176,icing sugar,100 g,0,0,0,0,0.420 mg,0.280 mg,3.700 mg,0,0,0,0,3.20 mg,7.30 g,0
2027,halibut,100 g,47.00 IU,1097.00 IU,0.73 mg,0.0 mg,0.060 mg,0.080 mg,1.500 mg,0.420 mg,1.00 mcg,0.00 mcg,3.00 mg,0.66 mg,14.37 g,0.40 mg
793,shrimp,100 g,6.00 IU,0,2.61 mg,0,0.180 mg,0.250 mg,2.467 mg,0.085 mg,0.40 mcg,0,47.00 mg,1.54 mg,13.88 g,0.85 mg
1083,lemons,100 g,22.00 IU,0.00 IU,0.15 mg,53.0 mg,0.040 mg,0.020 mg,0.100 mg,0.080 mg,0.00 mcg,0.00 mcg,26.00 mg,0.60 mg,1.10 g,0.06 mg
118,cucumber,100 g,72.00 IU,0.00 IU,0.03 mg,3.2 mg,0.031 mg,0.025 mg,0.037 mg,0.051 mg,0.00 mcg,0.00 mcg,14.00 mg,0.22 mg,0.59 g,0.17 mg
110,hot pepper,100 g,547.00 IU,0.00 IU,1.04 mg,0.0 mg,0.108 mg,0.180 mg,1.143 mg,0.291 mg,0.00 mcg,0.00 mcg,443.00 mg,9.71 mg,10.39 g,1.19 mg
109,parsley,100 g,63240.00 IU,0.00 IU,0,149.0 mg,1.040 mg,2.260 mg,10.400 mg,1.375 mg,0.00 mcg,0.00 mcg,176.00 mg,53.90 mg,31.30 g,6.11 mg
990,cilantro,100 g,313.00 IU,0,0,0.0 mg,0,0,0,0,0,0,0.00 mg,0.00 mg,0.00 g,0
557,cream cheese,100 g,1111.00 IU,0.00 IU,0.86 mg,0.0 mg,0.023 mg,0.230 mg,0.091 mg,0.056 mg,0.22 mcg,0.00 mcg,97.00 mg,0.11 mg,6.15 g,0.50 mg
138,sour cream,100 g,255.00 IU,0.00 IU,0.00 mg,0.0 mg,0.040 mg,0.150 mg,0.070 mg,0.020 mg,0.30 mcg,0.00 mcg,125.00 mg,0.00 mg,3.10 g,0.50 mg
61,vanilla,100 g,0,0,0,0,0.420 mg,0.230 mg,2.600 mg,0,0,0,0,0,4.00 g,0
16,lemon,100 g,32.00 IU,0,0,0.0 mg,0.141 mg,0.106 mg,1.425 mg,0.030 mg,0.08 mcg,15.00 mcg,22.00 mg,1.22 mg,3.00 g,0.23 mg
594,graham cracker crumbs,100 g,0.00 IU,0.00 IU,0.43 mg,0.0 mg,0.696 mg,0.468 mg,5.707 mg,0.039 mg,0.00 mcg,114.00 mcg,23.00 mg,4.64 mg,9.30 g,0.69 mg
183,curry powder,100 g,19.00 IU,0.00 IU,25.24 mg,0.7 mg,0.176 mg,0.200 mg,3.260 mg,0.105 mg,0.00 mcg,0.00 mcg,525.00 mg,19.10 mg,14.29 g,4.70 mg
448,sharp cheddar cheese,100 g,1242.00 IU,24.00 IU,0.71 mg,0.0 mg,0.029 mg,0.428 mg,0.059 mg,0.066 mg,1.10 mcg,0.00 mcg,710.00 mg,0.14 mg,22.87 g,3.64 mg
25,green onion,100 g,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
729,sliced almonds,100 g,3.00 IU,0.00 IU,12.36 mg,0.0 mg,0.050 mg,0.270 mg,1.000 mg,0.060 mg,0.00 mcg,0.00 mcg,100.00 mg,1.90 mg,10.00 g,1.56 mg
1052,mayonnaise,100 g,43.00 IU,0.00 IU,2.40 mg,0.0 mg,0.050 mg,0.040 mg,0.090 mg,0.020 mg,0.00 mcg,0.00 mcg,53.00 mg,0.27 mg,5.95 g,0.40 mg
343,sherry wine,100 g,0.00 IU,0,0,0.5 mg,0,0,0,0,0,0,6.00 mg,0.45 mg,0.04 g,0.03 mg
110,pepper jelly,100 g,547.00 IU,0.00 IU,1.04 mg,0.0 mg,0.108 mg,0.180 mg,1.143 mg,0.291 mg,0.00 mcg,0.00 mcg,443.00 mg,9.71 mg,10.39 g,1.19 mg
1661,chicken breast,100 g,0.00 IU,0,0.07 mg,0.0 mg,0.043 mg,0.062 mg,6.536 mg,0.298 mg,0.24 mcg,0.00 mcg,6.00 mg,0.32 mg,14.59 g,0.65 mg
22,ground ginger,100 g,5130.00 IU,0.00 IU,0,50.0 mg,0.366 mg,0,4.080 mg,1.810 mg,0.00 mcg,0,2132.00 mg,37.88 mg,6.73 g,4.30 mg
66,garlic powder,100 g,0.00 IU,0.00 IU,0.67 mg,1.2 mg,0.435 mg,0.141 mg,0.796 mg,1.654 mg,0.00 mcg,0.00 mcg,79.00 mg,5.65 mg,16.55 g,2.99 mg
157,onion powder,100 g,0.00 IU,0.00 IU,0.27 mg,23.4 mg,0.457 mg,0.080 mg,0.321 mg,0.718 mg,0.00 mcg,0.00 mcg,384.00 mg,3.90 mg,10.41 g,4.05 mg
1893,chicken broth,100 g,2.00 IU,0,0.09 mg,1.0 mg,0.190 mg,0.380 mg,3.900 mg,0.100 mg,0.30 mcg,0.00 mcg,190.00 mg,1.87 mg,14.60 g,0.20 mg
0,cornstarch,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,2.00 mg,0.47 mg,0.26 g,0.06 mg
4914,flour tortillas,100 g,0,0,0,0,0,0,0,0,0,0,0,0,8.70 g,0
4940,scallion,100 g,997.00 IU,0.00 IU,0.55 mg,18.8 mg,0.055 mg,0.080 mg,0.525 mg,0.061 mg,0.00 mcg,0.00 mcg,72.00 mg,1.48 mg,1.83 g,0.39 mg
8,monterey jack and cheddar cheese blend,100 g,820.00 IU,18.00 IU,0.21 mg,0.0 mg,0.028 mg,0.488 mg,0.630 mg,0.227 mg,1.30 mcg,0.00 mcg,388.00 mg,0.33 mg,19.80 g,2.38 mg
305,vinegar,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,6.00 mg,0.03 mg,0.00 g,0.01 mg
227,mustard,100 g,3024.00 IU,0.00 IU,2.01 mg,70.0 mg,0.080 mg,0.110 mg,0.800 mg,0.180 mg,0.00 mcg,0.00 mcg,115.00 mg,1.64 mg,2.86 g,0.25 mg
772,baking soda,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
375,cocoa,100 g,0.00 IU,0,1.80 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
5137,miracle whip,100 g,69.00 IU,0,0,0.0 mg,0,0,0,0,0,0,6.00 mg,0.12 mg,0.20 g,0
2,egg,100 g,23.00 IU,0.00 IU,0.30 mg,2.2 mg,0.039 mg,0.037 mg,0.649 mg,0.084 mg,0.00 mcg,0.00 mcg,9.00 mg,0.23 mg,0.98 g,0.16 mg
1034,instant coffee,100 g,63.00 IU,0.00 IU,0.74 mg,0.9 mg,0.130 mg,0.264 mg,1.181 mg,0.205 mg,0.37 mcg,15.00 mcg,115.00 mg,9.57 mg,11.72 g,1.13 mg
1643,cream of tartar,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,8.00 mg,3.72 mg,0.00 g,0.42 mg
24,whipping cream,100 g,552.00 IU,11.00 IU,0.27 mg,0.0 mg,0.040 mg,0.185 mg,0.125 mg,0.045 mg,0.92 mcg,0.00 mcg,148.00 mg,0.17 mg,7.85 g,0.57 mg
4777,whipped cream,100 g,0.00 IU,0.00 IU,0.05 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,3.00 mg,0.01 mg,0.90 g,0.01 mg
686,chocolate curls,100 g,10.00 IU,0.00 IU,0.72 mg,0.0 mg,0.203 mg,0.266 mg,2.858 mg,0.051 mg,0.09 mcg,39.00 mcg,31.00 mg,4.01 mg,6.60 g,1.09 mg
328,granulated sugar,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.019 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,1.00 mg,0.05 mg,0.00 g,0.01 mg
93,white cornmeal,100 g,1.00 IU,0.00 IU,0.05 mg,0.0 mg,0.003 mg,0.006 mg,0.033 mg,0.005 mg,0.00 mcg,0.00 mcg,10.00 mg,0.62 mg,1.48 g,1.05 mg
617,all-purpose flour,100 g,14.00 IU,0.00 IU,0.63 mg,0.2 mg,0.053 mg,0.461 mg,1.897 mg,0.366 mg,0.00 mcg,0.00 mcg,348.00 mg,2.94 mg,4.62 g,0.92 mg
48,peanut oil,100 g,3069.00 IU,0.00 IU,2.80 mg,0.0 mg,0.001 mg,0.005 mg,0.003 mg,0.001 mg,0.01 mcg,0.00 mcg,4.00 mg,0.00 mg,0.28 g,0.01 mg
6387,minced clams,100 g,0.00 IU,26.00 IU,0.42 mg,0.0 mg,0.317 mg,0.176 mg,3.530 mg,0.218 mg,0.45 mcg,0.00 mcg,0.00 mg,0.64 mg,13.40 g,1.59 mg
854,half-and-half,100 g,170.00 IU,1.00 IU,0.12 mg,0.0 mg,0.030 mg,0.194 mg,0.109 mg,0.050 mg,0.19 mcg,0.00 mcg,133.00 mg,0.00 mg,3.33 g,0.39 mg
246,potatoes,100 g,0.00 IU,0.00 IU,0,11.4 mg,0.021 mg,0.038 mg,1.033 mg,0.239 mg,0.00 mcg,0.00 mcg,30.00 mg,3.24 mg,2.57 g,0.35 mg
6140,american cheese,100 g,11.00 IU,0,0.11 mg,0.0 mg,0.760 mg,0.690 mg,8.140 mg,0.160 mg,0.33 mcg,0,418.00 mg,30.38 mg,8.80 g,0.42 mg
83,ham,100 g,55.00 IU,0,0,0.6 mg,0.247 mg,0.239 mg,4.544 mg,0,0.83 mcg,0,127.00 mg,2.87 mg,12.92 g,1.95 mg
816,lettuce,100 g,8710.00 IU,0.00 IU,0.13 mg,4.0 mg,0.072 mg,0.067 mg,0.313 mg,0.074 mg,0.00 mcg,0.00 mcg,33.00 mg,0.97 mg,1.23 g,0.23 mg
89,crisp bacon,100 g,0.00 IU,0,0,0.0 mg,0.600 mg,0.285 mg,4.867 mg,0.500 mg,1.90 mcg,0.00 mcg,14.00 mg,1.86 mg,29.10 g,3.23 mg
446,monterey jack cheese,100 g,769.00 IU,22.00 IU,0.26 mg,0.0 mg,0.015 mg,0.390 mg,0.093 mg,0.079 mg,0.83 mcg,0.00 mcg,746.00 mg,0.72 mg,24.48 g,3.00 mg
19,deli turkey,100 g,6.00 IU,24.00 IU,0.24 mg,0.0 mg,0.426 mg,0.303 mg,3.979 mg,0.427 mg,0.99 mcg,0.00 mcg,40.00 mg,1.25 mg,19.20 g,2.32 mg
709,red bell peppers,100 g,126.00 IU,0.00 IU,0,34.2 mg,0.010 mg,0.030 mg,0.627 mg,0.120 mg,0.00 mcg,0.00 mcg,36.00 mg,1.33 mg,0.72 g,0.09 mg
30,dry sherry,100 g,0.00 IU,0.00 IU,0.11 mg,0.0 mg,0.090 mg,0.060 mg,1.700 mg,0.142 mg,0.00 mcg,0.00 mcg,21.00 mg,1.30 mg,13.04 g,1.41 mg
24,heavy cream,100 g,552.00 IU,11.00 IU,0.27 mg,0.0 mg,0.040 mg,0.185 mg,0.125 mg,0.045 mg,0.92 mcg,0.00 mcg,148.00 mg,0.17 mg,7.85 g,0.57 mg
93,white pepper,100 g,1.00 IU,0.00 IU,0.05 mg,0.0 mg,0.003 mg,0.006 mg,0.033 mg,0.005 mg,0.00 mcg,0.00 mcg,10.00 mg,0.62 mg,1.48 g,1.05 mg
25,tabasco sauce,100 g,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
158,celery salt,100 g,2499.00 IU,0.00 IU,2.32 mg,0.0 mg,0.005 mg,0.034 mg,0.042 mg,0.003 mg,0.17 mcg,0.00 mcg,24.00 mg,0.02 mg,0.85 g,0.09 mg
462,paprika,100 g,49254.00 IU,0.00 IU,29.10 mg,0.9 mg,0.330 mg,1.230 mg,10.060 mg,2.141 mg,0.00 mcg,0.00 mcg,229.00 mg,21.14 mg,14.14 g,4.33 mg
18,vanilla bean,100 g,0.00 IU,0.00 IU,0,0.0 mg,0.379 mg,0.149 mg,1.640 mg,0.075 mg,0.00 mcg,0.00 mcg,30.00 mg,2.00 mg,11.60 g,1.39 mg
729,dark brown sugar,100 g,3.00 IU,0.00 IU,12.36 mg,0.0 mg,0.050 mg,0.270 mg,1.000 mg,0.060 mg,0.00 mcg,0.00 mcg,100.00 mg,1.90 mg,10.00 g,1.56 mg
710,fresh raspberry,100 g,543.00 IU,55.00 IU,1.08 mg,0.0 mg,0.130 mg,0.790 mg,0.150 mg,0.150 mg,1.58 mcg,0.00 mcg,64.00 mg,3.65 mg,13.05 g,1.47 mg
1420,baking chocolate,100 g,0.00 IU,0.00 IU,0.36 mg,0.1 mg,0.057 mg,0.105 mg,1.829 mg,0.034 mg,0.00 mcg,0.00 mcg,34.00 mg,2.18 mg,3.64 g,1.26 mg
2250,pralines,100 g,19.00 IU,0,0.50 mg,0.3 mg,0.203 mg,0.053 mg,0.415 mg,0.077 mg,0.00 mcg,0.00 mcg,43.00 mg,1.29 mg,3.30 g,1.67 mg
1,pecans,100 g,56.00 IU,0.00 IU,1.40 mg,1.1 mg,0.660 mg,0.130 mg,1.167 mg,0.210 mg,0.00 mcg,0.00 mcg,70.00 mg,2.53 mg,9.17 g,4.53 mg
2933,coffee beans,100 g,168.00 IU,0.00 IU,0.44 mg,0.0 mg,0.098 mg,0.315 mg,0.332 mg,0.031 mg,0.65 mcg,0.00 mcg,169.00 mg,2.29 mg,7.41 g,2.02 mg
613,bananas,100 g,64.00 IU,0.00 IU,0.10 mg,8.7 mg,0.031 mg,0.073 mg,0.665 mg,0.367 mg,0.00 mcg,0.00 mcg,5.00 mg,0.26 mg,1.09 g,0.15 mg
566,swiss cheese,100 g,1047.00 IU,0.00 IU,0.60 mg,0.0 mg,0.011 mg,0.302 mg,0.064 mg,0.071 mg,3.06 mcg,0.00 mcg,890.00 mg,0.13 mg,26.96 g,4.37 mg
57,cake flour,100 g,0.00 IU,0.00 IU,0,0.0 mg,0.457 mg,0.172 mg,11.499 mg,0.304 mg,0.00 mcg,0.00 mcg,130.00 mg,4.74 mg,33.80 g,5.99 mg
490,unsalted butter,100 g,2499.00 IU,0.00 IU,2.32 mg,0.0 mg,0.005 mg,0.034 mg,0.042 mg,0.003 mg,0.17 mcg,0.00 mcg,24.00 mg,0.02 mg,0.85 g,0.09 mg
1277,buttermilk,100 g,175.00 IU,20.00 IU,0.10 mg,5.7 mg,0.392 mg,1.579 mg,0.876 mg,0.338 mg,3.82 mcg,0.00 mcg,1184.00 mg,0.30 mg,34.30 g,4.02 mg
711,seasoning salt,100 g,15563.00 IU,0.00 IU,1.06 mg,4.2 mg,0.024 mg,0.054 mg,0.367 mg,0.056 mg,0.00 mcg,0.00 mcg,26.00 mg,1.39 mg,1.10 g,0.17 mg
759,prepared mustard,100 g,0.00 IU,0,0.86 mg,0.0 mg,0.048 mg,0.056 mg,0.402 mg,0.060 mg,0.23 mcg,0,32.00 mg,0.86 mg,2.60 g,0.36 mg
152,pickle relish,100 g,1218.00 IU,0.00 IU,0.58 mg,1.0 mg,0.000 mg,0.033 mg,0.233 mg,0.015 mg,0.00 mcg,0.00 mcg,3.00 mg,0.87 mg,0.37 g,0.14 mg
1418,refrigerated biscuits,100 g,37.00 IU,0,0.19 mg,0.0 mg,0.205 mg,0.122 mg,2.412 mg,0.019 mg,0.02 mcg,0,8.00 mg,1.85 mg,4.00 g,0.24 mg
922,edamame,100 g,0,0,0.72 mg,9.7 mg,0.150 mg,0.265 mg,0.925 mg,0.135 mg,0,0.00 mcg,60.00 mg,2.11 mg,11.22 g,1.32 mg
691,cold water,100 g,0.00 IU,0.00 IU,0.47 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,1.00 mg,0.00 mg,0.11 g,0.07 mg
110,cayenne pepper,100 g,547.00 IU,0.00 IU,1.04 mg,0.0 mg,0.108 mg,0.180 mg,1.143 mg,0.291 mg,0.00 mcg,0.00 mcg,443.00 mg,9.71 mg,10.39 g,1.19 mg
1308,english muffins,100 g,1.00 IU,0.00 IU,0.45 mg,0.0 mg,0.431 mg,0.292 mg,3.356 mg,0.087 mg,0.00 mcg,25.00 mcg,178.00 mg,2.87 mg,8.70 g,1.07 mg
14,boiled ham,100 g,100.00 IU,8.00 IU,0.27 mg,0.0 mg,0.060 mg,0.200 mg,0.400 mg,0.010 mg,0.47 mcg,0.00 mcg,88.00 mg,0.91 mg,19.40 g,0.69 mg
134,snails,100 g,100.00 IU,0.00 IU,5.00 mg,0.0 mg,0.010 mg,0.120 mg,1.400 mg,0.130 mg,0.50 mcg,0.00 mcg,10.00 mg,3.50 mg,16.10 g,1.00 mg
6118,chickpeas,100 g,67.00 IU,0.00 IU,0.82 mg,4.0 mg,0.477 mg,0.212 mg,1.541 mg,0.535 mg,0.00 mcg,0.00 mcg,57.00 mg,4.31 mg,20.47 g,2.76 mg
745,coriander,100 g,5850.00 IU,0.00 IU,1.03 mg,566.7 mg,1.252 mg,1.500 mg,10.707 mg,0.610 mg,0.00 mcg,0.00 mcg,1246.00 mg,42.46 mg,21.93 g,4.72 mg
311,cumin,100 g,1270.00 IU,0.00 IU,3.33 mg,7.7 mg,0.628 mg,0.327 mg,4.579 mg,0.435 mg,0.00 mcg,0.00 mcg,931.00 mg,66.36 mg,17.81 g,4.80 mg
1200,filet mignon,100 g,0,0,1.17 mg,0.3 mg,0.211 mg,0.130 mg,2.220 mg,0,1.08 mcg,0,120.00 mg,1.56 mg,11.26 g,0.58 mg
849,seasoning,100 g,9381.00 IU,0,0,45.0 mg,0,0,0,0,0,0,0,6.75 mg,0.00 g,0
508,fresh white mushrooms,100 g,8424.00 IU,0.00 IU,0.75 mg,133.0 mg,0.086 mg,0.098 mg,1.313 mg,0.090 mg,0.00 mcg,0.00 mcg,138.00 mg,6.20 mg,2.97 g,1.07 mg
682,sweet vermouth,100 g,1.00 IU,0.00 IU,0.07 mg,6.8 mg,0.200 mg,0.060 mg,1.700 mg,0.055 mg,0.00 mcg,0.00 mcg,2.00 mg,0.52 mg,3.22 g,0.45 mg
711,salt %26 pepper,100 g,15563.00 IU,0.00 IU,1.06 mg,4.2 mg,0.024 mg,0.054 mg,0.367 mg,0.056 mg,0.00 mcg,0.00 mcg,26.00 mg,1.39 mg,1.10 g,0.17 mg
1398,pan dripping,100 g,23.00 IU,0.00 IU,0.29 mg,1.2 mg,0.377 mg,0.230 mg,3.463 mg,0.057 mg,0.11 mcg,68.00 mcg,86.00 mg,2.87 mg,9.42 g,0.84 mg
24,deep fat,100 g,552.00 IU,11.00 IU,0.27 mg,0.0 mg,0.040 mg,0.185 mg,0.125 mg,0.045 mg,0.92 mcg,0.00 mcg,148.00 mg,0.17 mg,7.85 g,0.57 mg
585,white fish fillets,100 g,67.00 IU,0,0.63 mg,0.0 mg,0.020 mg,0.021 mg,0.220 mg,0.030 mg,1.60 mcg,0.00 mcg,9.00 mg,0.26 mg,15.18 g,0.33 mg
600,self-raising flour,100 g,0,0,0.11 mg,0.0 mg,0.413 mg,0.073 mg,6.020 mg,0.372 mg,0,0.00 mcg,14.00 mg,3.94 mg,10.75 g,2.63 mg
16,lemon wedge,100 g,32.00 IU,0,0,0.0 mg,0.141 mg,0.106 mg,1.425 mg,0.030 mg,0.08 mcg,15.00 mcg,22.00 mg,1.22 mg,3.00 g,0.23 mg
256,duck liver,100 g,100000.00 IU,10000.00 IU,0,0.0 mg,0,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
792,cognac,100 g,75.00 IU,0,0.25 mg,15.8 mg,0.074 mg,0.135 mg,3.463 mg,0.227 mg,0.59 mcg,0.00 mcg,92.00 mg,1.25 mg,11.33 g,1.22 mg
17,red peppers,100 g,1078.00 IU,0.00 IU,3.58 mg,118.6 mg,0.040 mg,0.070 mg,1.280 mg,0.419 mg,0.00 mcg,0.00 mcg,12.00 mg,0.25 mg,0.91 g,0.14 mg
976,russet potatoes,100 g,0.00 IU,0.00 IU,0.02 mg,10.5 mg,0.020 mg,0.010 mg,0.350 mg,0.070 mg,0.00 mcg,0.00 mcg,4.00 mg,0.20 mg,1.00 g,0.17 mg
55,yellow onions,100 g,0.00 IU,0.00 IU,0,9.0 mg,0.041 mg,0.047 mg,1.179 mg,0.056 mg,0.00 mcg,0.00 mcg,11.00 mg,0.49 mg,0.98 g,0.28 mg
11,dried thyme,100 g,26822.00 IU,0,0,48.4 mg,0,0,0,0,0,0,190.00 mg,6.80 mg,14.26 g,0
4677,beef stock,100 g,194.00 IU,0.00 IU,0.89 mg,0.8 mg,0.028 mg,0.076 mg,0.960 mg,0.030 mg,0.00 mcg,0.00 mcg,8.00 mg,0.67 mg,2.51 g,1.10 mg
