,ing_name,serving_size,vitamin_a,vitamin_d,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,vitamin_b12,folic_acid,calcium,irom,protein,zink
619,salt and black pepper,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,24.00 mg,0.33 mg,0.00 g,0.10 mg
487,gruyere cheese,100 g,948.00 IU,24.00 IU,0.28 mg,0.0 mg,0.060 mg,0.279 mg,0.106 mg,0.081 mg,1.60 mcg,0.00 mcg,1011.00 mg,0.17 mg,29.81 g,3.90 mg
1548,mozzarella cheese,100 g,343.00 IU,0,0.74 mg,0,0.150 mg,0.257 mg,0.980 mg,0.084 mg,0.95 mcg,0,331.00 mg,0.84 mg,13.56 g,1.98 mg
747,lemon%2c juice of,100 g,6.00 IU,0.00 IU,0,2.6 mg,0.065 mg,0.135 mg,1.101 mg,0.080 mg,0.00 mcg,0.00 mcg,65.00 mg,8.17 mg,1.82 g,2.23 mg
10,hot sauce,100 g,313.00 IU,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
152,sweet paprika,100 g,1218.00 IU,0.00 IU,0.58 mg,1.0 mg,0.000 mg,0.033 mg,0.233 mg,0.015 mg,0.00 mcg,0.00 mcg,3.00 mg,0.87 mg,0.37 g,0.14 mg
1009,vegetable oil,100 g,0.00 IU,0.00 IU,3.81 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
25,dipping sauce,100 g,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
539,shallot,100 g,4.00 IU,0.00 IU,0.04 mg,8.0 mg,0.060 mg,0.020 mg,0.200 mg,0.345 mg,0.00 mcg,0.00 mcg,37.00 mg,1.20 mg,2.50 g,0.40 mg
290,tomato paste,100 g,0.00 IU,0.00 IU,13.54 mg,0.1 mg,0.082 mg,0.414 mg,1.422 mg,0.036 mg,0.00 mcg,0.00 mcg,172.00 mg,1.60 mg,9.00 g,1.48 mg
110,black olives,100 g,547.00 IU,0.00 IU,1.04 mg,0.0 mg,0.108 mg,0.180 mg,1.143 mg,0.291 mg,0.00 mcg,0.00 mcg,443.00 mg,9.71 mg,10.39 g,1.19 mg
517,capers,100 g,138.00 IU,0.00 IU,0.88 mg,4.3 mg,0.018 mg,0.139 mg,0.652 mg,0.023 mg,0.00 mcg,0.00 mcg,40.00 mg,1.67 mg,2.36 g,0.32 mg
149,chili flakes,100 g,29650.00 IU,0.00 IU,38.14 mg,0.7 mg,0.250 mg,0.940 mg,11.600 mg,2.094 mg,0.00 mcg,0.00 mcg,330.00 mg,17.30 mg,13.46 g,4.30 mg
747,lemon%2c zest of,100 g,6.00 IU,0.00 IU,0,2.6 mg,0.065 mg,0.135 mg,1.101 mg,0.080 mg,0.00 mcg,0.00 mcg,65.00 mg,8.17 mg,1.82 g,2.23 mg
19,cooked rice,100 g,6.00 IU,24.00 IU,0.24 mg,0.0 mg,0.426 mg,0.303 mg,3.979 mg,0.427 mg,0.99 mcg,0.00 mcg,40.00 mg,1.25 mg,19.20 g,2.32 mg
785,red bell pepper,100 g,2760.00 IU,0.00 IU,3.09 mg,162.8 mg,0.056 mg,0.109 mg,0.954 mg,0.364 mg,0.00 mcg,0.00 mcg,7.00 mg,0.47 mg,1.04 g,0.15 mg
4940,scallions,100 g,997.00 IU,0.00 IU,0.55 mg,18.8 mg,0.055 mg,0.080 mg,0.525 mg,0.061 mg,0.00 mcg,0.00 mcg,72.00 mg,1.48 mg,1.83 g,0.39 mg
53,frozen peas,100 g,44.00 IU,0,0,19.7 mg,0.374 mg,0.200 mg,1.074 mg,0.316 mg,0.00 mcg,0,6.00 mg,0.43 mg,1.47 g,0.28 mg
3845,unflavored gelatin,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.006 mg,0.001 mg,0.000 mg,0.00 mcg,0.00 mcg,3.00 mg,0.02 mg,1.22 g,0.01 mg
1520,skim milk,100 g,481.00 IU,12.00 IU,0.14 mg,0.0 mg,0.018 mg,0.303 mg,0.105 mg,0.070 mg,0.82 mcg,0.00 mcg,782.00 mg,0.22 mg,24.26 g,2.76 mg
610,plain low-fat yogurt,100 g,0.00 IU,191.00 IU,2.70 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
11,dried basil,100 g,26822.00 IU,0,0,48.4 mg,0,0,0,0,0,0,190.00 mg,6.80 mg,14.26 g,0
29,dried oregano,100 g,29.00 IU,0.00 IU,9.33 mg,0.8 mg,0.364 mg,0.227 mg,4.387 mg,0.094 mg,0.00 mcg,0.00 mcg,16.00 mg,5.53 mg,13.69 g,6.45 mg
29,dried rosemary,100 g,29.00 IU,0.00 IU,9.33 mg,0.8 mg,0.364 mg,0.227 mg,4.387 mg,0.094 mg,0.00 mcg,0.00 mcg,16.00 mg,5.53 mg,13.69 g,6.45 mg
1969,round sourdough loaf,100 g,260.00 IU,33.00 IU,0.40 mg,7.8 mg,0.392 mg,0.115 mg,2.486 mg,0.418 mg,0.54 mcg,0.00 mcg,109.00 mg,1.33 mg,11.23 g,1.68 mg
6936,mashed potatoes,100 g,319.00 IU,2.00 IU,0.24 mg,0.8 mg,0.138 mg,0.252 mg,3.057 mg,0.177 mg,0.33 mcg,7.00 mcg,27.00 mg,0.79 mg,6.97 g,0.48 mg
849,italian seasoning,100 g,9381.00 IU,0,0,45.0 mg,0,0,0,0,0,0,0,6.75 mg,0.00 g,0
40,onion salt,100 g,0.00 IU,0,0,7.0 mg,0.200 mg,0.400 mg,3.700 mg,0.100 mg,0.70 mcg,17.00 mcg,280.00 mg,1.00 mg,9.00 g,0.88 mg
6005,green pepper,100 g,232.00 IU,0.00 IU,0,8.8 mg,0.022 mg,0.080 mg,0.950 mg,0.097 mg,0.00 mcg,0.00 mcg,5.00 mg,0.79 mg,2.33 g,0.37 mg
591,feta cheese,100 g,422.00 IU,16.00 IU,0.18 mg,0.0 mg,0.154 mg,0.844 mg,0.991 mg,0.424 mg,1.69 mcg,0.00 mcg,493.00 mg,0.65 mg,14.21 g,2.88 mg
286,herbs,100 g,5559.00 IU,0.00 IU,0,37.0 mg,0.133 mg,0.546 mg,1.260 mg,0.600 mg,0.00 mcg,0.00 mcg,208.00 mg,4.76 mg,4.65 g,0.79 mg
680,oregano,100 g,1701.00 IU,0.00 IU,18.26 mg,2.3 mg,0.177 mg,0.528 mg,4.640 mg,1.044 mg,0.00 mcg,0.00 mcg,1597.00 mg,36.80 mg,9.00 g,2.69 mg
11,dried chives,100 g,26822.00 IU,0,0,48.4 mg,0,0,0,0,0,0,190.00 mg,6.80 mg,14.26 g,0
1303,tarragon,100 g,4200.00 IU,0.00 IU,0,50.0 mg,0.251 mg,1.339 mg,8.950 mg,2.410 mg,0.00 mcg,0.00 mcg,1139.00 mg,32.30 mg,22.77 g,3.90 mg
796,white bread,100 g,100.00 IU,0,0,1.1 mg,0.400 mg,0.200 mg,4.000 mg,0,0,0,301.00 mg,3.60 mg,0.01 g,0
448,cheddar cheese,100 g,1242.00 IU,24.00 IU,0.71 mg,0.0 mg,0.029 mg,0.428 mg,0.059 mg,0.066 mg,1.10 mcg,0.00 mcg,710.00 mg,0.14 mg,22.87 g,3.64 mg
705,salmon fillets,100 g,87.00 IU,685.00 IU,1.35 mg,0.0 mg,0.023 mg,0.101 mg,4.720 mg,0.278 mg,3.26 mcg,0.00 mcg,11.00 mg,0.85 mg,18.28 g,0.31 mg
1107,avocados,100 g,147.00 IU,0.00 IU,1.97 mg,8.8 mg,0.075 mg,0.143 mg,1.912 mg,0.287 mg,0.00 mcg,0.00 mcg,13.00 mg,0.61 mg,1.96 g,0.68 mg
483,lime juice,100 g,50.00 IU,0.00 IU,0.22 mg,30.0 mg,0.025 mg,0.015 mg,0.142 mg,0.038 mg,0.00 mcg,0.00 mcg,14.00 mg,0.09 mg,0.42 g,0.08 mg
158,kosher salt,100 g,2499.00 IU,0.00 IU,2.32 mg,0.0 mg,0.005 mg,0.034 mg,0.042 mg,0.003 mg,0.17 mcg,0.00 mcg,24.00 mg,0.02 mg,0.85 g,0.09 mg
107,cabbage,100 g,263.00 IU,0.00 IU,0,3.2 mg,0.005 mg,0.025 mg,0.466 mg,0.037 mg,0.00 mcg,0.00 mcg,29.00 mg,0.74 mg,1.10 g,0.14 mg
7,ground pork,100 g,0.00 IU,2.00 IU,0.20 mg,0.0 mg,0.110 mg,0.210 mg,5.960 mg,0.130 mg,2.31 mcg,0.00 mcg,16.00 mg,1.55 mg,16.56 g,3.41 mg
719,japanese soy sauce,100 g,6.00 IU,0.00 IU,0.28 mg,0.4 mg,0.004 mg,0.217 mg,1.170 mg,0.062 mg,0.00 mcg,0.00 mcg,32.00 mg,1.01 mg,3.31 g,0.32 mg
350,mirin,100 g,15.00 IU,0.00 IU,0.05 mg,0.0 mg,0.212 mg,0.085 mg,0.950 mg,0.032 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.08 mg
735,hot water,100 g,140.00 IU,0,0.42 mg,1.5 mg,0.040 mg,0.190 mg,0.680 mg,0.080 mg,0.41 mcg,0.00 mcg,131.00 mg,0.37 mg,3.57 g,0.60 mg
1087,gyoza skins,100 g,40.00 IU,0.00 IU,0.53 mg,0.5 mg,0.099 mg,0.283 mg,1.549 mg,0.023 mg,0.64 mcg,0.00 mcg,30.00 mg,0.88 mg,61.30 g,0.56 mg
5745,ground beef,100 g,89.00 IU,0,0.44 mg,0,0.160 mg,0.220 mg,2.785 mg,0.125 mg,1.15 mcg,0,123.00 mg,1.94 mg,13.19 g,1.97 mg
677,quick oats,100 g,0.00 IU,0.00 IU,0,0.0 mg,0.763 mg,0.139 mg,0.961 mg,0.119 mg,0.00 mcg,0.00 mcg,54.00 mg,4.72 mg,16.89 g,3.97 mg
1628,sea salt,100 g,0.00 mcg,0.00 IU,0.00 mg,0,0.250 mg,0.100 mg,1.900 mg,0.080 mg,0.00 mcg,0,0,2.20 mg,10.50 g,0.50 mg
8,vermont sharp cheddar cheese,100 g,820.00 IU,18.00 IU,0.21 mg,0.0 mg,0.028 mg,0.488 mg,0.630 mg,0.227 mg,1.30 mcg,0.00 mcg,388.00 mg,0.33 mg,19.80 g,2.38 mg
165,kaiser rolls,100 g,135.00 IU,0.00 IU,0.38 mg,0.2 mg,0.480 mg,0.327 mg,3.787 mg,0.110 mg,0.21 mcg,51.00 mcg,62.00 mg,2.74 mg,10.04 g,0.85 mg
1260,pickles,100 g,191.00 IU,0.00 IU,0.09 mg,1.0 mg,0.000 mg,0.010 mg,0.000 mg,0.009 mg,0.00 mcg,0.00 mcg,0.00 mg,0.40 mg,0.33 g,0.02 mg
606,stone ground mustard,100 g,0.00 IU,0,0,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,0.00 mg,0.00 mg,0.00 g,0.00 mg
503,dried chinese mushrooms,100 g,0.00 IU,0,0,28.0 mg,0.040 mg,0.500 mg,1.000 mg,0,0.00 mcg,0,45.00 mg,5.40 mg,4.90 g,0.22 mg
14,chicken,100 g,100.00 IU,8.00 IU,0.27 mg,0.0 mg,0.060 mg,0.200 mg,0.400 mg,0.010 mg,0.47 mcg,0.00 mcg,88.00 mg,0.91 mg,19.40 g,0.69 mg
706,firm tofu,100 g,0.00 IU,0,0,1.1 mg,0,0,0,0,0,0,149.00 mg,1.69 mg,10.92 g,0
312,bamboo shoots,100 g,20.00 IU,0.00 IU,1.00 mg,4.0 mg,0.150 mg,0.070 mg,0.600 mg,0.240 mg,0.00 mcg,0.00 mcg,13.00 mg,0.50 mg,2.60 g,1.10 mg
14,chicken stock,100 g,100.00 IU,8.00 IU,0.27 mg,0.0 mg,0.060 mg,0.200 mg,0.400 mg,0.010 mg,0.47 mcg,0.00 mcg,88.00 mg,0.91 mg,19.40 g,0.69 mg
159,rice wine,100 g,0.00 IU,0.00 IU,0.03 mg,0.0 mg,0.018 mg,0.004 mg,0.072 mg,0.006 mg,0.00 mcg,0.00 mcg,4.00 mg,0.14 mg,1.79 g,0.25 mg
719,light soy sauce,100 g,6.00 IU,0.00 IU,0.28 mg,0.4 mg,0.004 mg,0.217 mg,1.170 mg,0.062 mg,0.00 mcg,0.00 mcg,32.00 mg,1.01 mg,3.31 g,0.32 mg
159,rice vinegar,100 g,0.00 IU,0.00 IU,0.03 mg,0.0 mg,0.018 mg,0.004 mg,0.072 mg,0.006 mg,0.00 mcg,0.00 mcg,4.00 mg,0.14 mg,1.79 g,0.25 mg
719,hot pepper sauce,100 g,6.00 IU,0.00 IU,0.28 mg,0.4 mg,0.004 mg,0.217 mg,1.170 mg,0.062 mg,0.00 mcg,0.00 mcg,32.00 mg,1.01 mg,3.31 g,0.32 mg
735,hot dogs,100 g,140.00 IU,0,0.42 mg,1.5 mg,0.040 mg,0.190 mg,0.680 mg,0.080 mg,0.41 mcg,0.00 mcg,131.00 mg,0.37 mg,3.57 g,0.60 mg
735,hot dog buns,100 g,140.00 IU,0,0.42 mg,1.5 mg,0.040 mg,0.190 mg,0.680 mg,0.080 mg,0.41 mcg,0.00 mcg,131.00 mg,0.37 mg,3.57 g,0.60 mg
40,white onion,100 g,0.00 IU,0,0,7.0 mg,0.200 mg,0.400 mg,3.700 mg,0.100 mg,0.70 mcg,17.00 mcg,280.00 mg,1.00 mg,9.00 g,0.88 mg
2544,jalapenos,100 g,333.00 IU,0,0,12.0 mg,0,0,0,0,0,0,67.00 mg,0,0.00 g,0
89,bacon,100 g,0.00 IU,0,0,0.0 mg,0.600 mg,0.285 mg,4.867 mg,0.500 mg,1.90 mcg,0.00 mcg,14.00 mg,1.86 mg,29.10 g,3.23 mg
546,dried chipotle chile,100 g,0.00 IU,0.00 IU,0,1.4 mg,0.826 mg,0.350 mg,3.000 mg,0.950 mg,0.00 mcg,0.00 mcg,113.00 mg,6.14 mg,4.82 g,7.52 mg
1097,jalapeno pepper,100 g,625.00 IU,0,0,7.5 mg,0,0,0,0,0,0,0,0,3.13 g,0
472,tomatillo,100 g,114.00 IU,0.00 IU,0.38 mg,11.7 mg,0.044 mg,0.035 mg,1.850 mg,0.056 mg,0.00 mcg,0.00 mcg,7.00 mg,0.62 mg,0.96 g,0.22 mg
29,dried marjoram,100 g,29.00 IU,0.00 IU,9.33 mg,0.8 mg,0.364 mg,0.227 mg,4.387 mg,0.094 mg,0.00 mcg,0.00 mcg,16.00 mg,5.53 mg,13.69 g,6.45 mg
546,dried garbanzo beans,100 g,0.00 IU,0.00 IU,0,1.4 mg,0.826 mg,0.350 mg,3.000 mg,0.950 mg,0.00 mcg,0.00 mcg,113.00 mg,6.14 mg,4.82 g,7.52 mg
799,lemons%2c juice of,100 g,17.00 IU,0.00 IU,0.07 mg,40.7 mg,0.040 mg,0.025 mg,0.173 mg,0.061 mg,0.00 mcg,0.00 mcg,8.00 mg,0.18 mg,0.41 g,0.06 mg
739,peanut butter,100 g,0.00 IU,0.00 IU,9.05 mg,0.0 mg,0.120 mg,0.110 mg,13.690 mg,0.450 mg,0.00 mcg,0.00 mcg,41.00 mg,1.90 mg,24.00 g,2.78 mg
690,lasagna noodles,100 g,0.00 IU,0.00 IU,2.30 mg,0.0 mg,0.578 mg,0.421 mg,5.950 mg,0.110 mg,0.00 mcg,84.00 mcg,20.00 mg,4.73 mg,8.11 g,1.40 mg
2066,tomato sauce,100 g,696.00 IU,0.00 IU,0.62 mg,0.0 mg,0.058 mg,0.052 mg,1.302 mg,0.058 mg,0.01 mcg,27.00 mcg,13.00 mg,0.91 mg,2.22 g,0.38 mg
296,onions,100 g,1.00 IU,0.00 IU,0.02 mg,4.8 mg,0.041 mg,0.020 mg,0.133 mg,0.130 mg,0,0,20.00 mg,0.26 mg,0.80 g,0.13 mg
66,garlic salt,100 g,0.00 IU,0.00 IU,0.67 mg,1.2 mg,0.435 mg,0.141 mg,0.796 mg,1.654 mg,0.00 mcg,0.00 mcg,79.00 mg,5.65 mg,16.55 g,2.99 mg
24,cottage cheese,100 g,552.00 IU,11.00 IU,0.27 mg,0.0 mg,0.040 mg,0.185 mg,0.125 mg,0.045 mg,0.92 mcg,0.00 mcg,148.00 mg,0.17 mg,7.85 g,0.57 mg
109,parsley flakes,100 g,63240.00 IU,0.00 IU,0,149.0 mg,1.040 mg,2.260 mg,10.400 mg,1.375 mg,0.00 mcg,0.00 mcg,176.00 mg,53.90 mg,31.30 g,6.11 mg
2303,lobster shells,100 g,0.00 IU,0,0,0.0 mg,0.228 mg,0.053 mg,1.350 mg,0.296 mg,0.00 mcg,99.00 mcg,160.00 mg,2.50 mg,7.20 g,1.40 mg
2651,lobsters,100 g,4.00 IU,1.00 IU,0.87 mg,0.0 mg,0.020 mg,0.014 mg,1.591 mg,0.104 mg,1.25 mcg,0.00 mcg,84.00 mg,0.26 mg,16.52 g,3.53 mg
849,old bay seasoning,100 g,9381.00 IU,0,0,45.0 mg,0,0,0,0,0,0,0,6.75 mg,0.00 g,0
15,lobster meat,100 g,57.00 IU,0,0,7.2 mg,0.283 mg,0.285 mg,8.200 mg,0.530 mg,0.47 mcg,0.00 mcg,13.00 mg,4.51 mg,21.76 g,2.70 mg
52,lettuce leaves,100 g,16000.00 IU,0.00 IU,0,93.2 mg,0.065 mg,0.119 mg,0.638 mg,0.159 mg,0.00 mcg,0.00 mcg,48.00 mg,0.88 mg,2.98 g,0.40 mg
165,rolls,100 g,135.00 IU,0.00 IU,0.38 mg,0.2 mg,0.480 mg,0.327 mg,3.787 mg,0.110 mg,0.21 mcg,51.00 mcg,62.00 mg,2.74 mg,10.04 g,0.85 mg
1437,elbow macaroni,100 g,230.00 IU,0,0.73 mg,0,0.097 mg,0.247 mg,0.710 mg,0.060 mg,0.19 mcg,0,145.00 mg,0.57 mg,6.49 g,0.83 mg
57,almond flour,100 g,0.00 IU,0.00 IU,0,0.0 mg,0.457 mg,0.172 mg,11.499 mg,0.304 mg,0.00 mcg,0.00 mcg,130.00 mg,4.74 mg,33.80 g,5.99 mg
56,egg whites,100 g,217.00 IU,0,0,0.4 mg,0.145 mg,0.412 mg,0.320 mg,0.216 mg,1.17 mcg,0.00 mcg,228.00 mg,1.93 mg,6.90 g,1.05 mg
1133,food coloring,100 g,304.00 IU,0.00 IU,0.25 mg,0.0 mg,0.026 mg,0.660 mg,0.213 mg,0.060 mg,0.22 mcg,0.00 mcg,115.00 mg,0.46 mg,3.37 g,0.57 mg
1419,bittersweet chocolate,100 g,3.00 IU,0.00 IU,4.96 mg,0.0 mg,0.085 mg,0.170 mg,0.427 mg,0.082 mg,0.27 mcg,0.00 mcg,108.00 mg,4.38 mg,5.41 g,1.06 mg
198,soybeans,100 g,180.00 IU,0.00 IU,0,29.0 mg,0.435 mg,0.175 mg,1.650 mg,0.065 mg,0.00 mcg,0.00 mcg,197.00 mg,3.55 mg,12.95 g,0.99 mg
694,dried rice koji,100 g,463.00 IU,0,4.51 mg,0,0.073 mg,0.262 mg,5.970 mg,0.176 mg,19.10 mcg,0,1600.00 mg,5.40 mg,56.19 g,6.70 mg
923,mussels,100 g,160.00 IU,0.00 IU,0.55 mg,8.0 mg,0.160 mg,0.210 mg,1.600 mg,0.050 mg,12.00 mcg,0.00 mcg,26.00 mg,3.95 mg,11.90 g,1.60 mg
508,fresh parsley leaves,100 g,8424.00 IU,0.00 IU,0.75 mg,133.0 mg,0.086 mg,0.098 mg,1.313 mg,0.090 mg,0.00 mcg,0.00 mcg,138.00 mg,6.20 mg,2.97 g,1.07 mg
572,fresh thyme leaves,100 g,4751.00 IU,0.00 IU,0,160.1 mg,0.048 mg,0.471 mg,1.824 mg,0.348 mg,0.00 mcg,0.00 mcg,405.00 mg,17.45 mg,5.56 g,1.81 mg
25,taco sauce,100 g,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
803,refried beans,100 g,0,0,0.10 mg,0.0 mg,0.145 mg,0.105 mg,0.520 mg,0,0.10 mcg,0,57.00 mg,1.67 mg,7.30 g,0.98 mg
4060,cream of mushroom soup,100 g,8.00 IU,9.00 IU,0.58 mg,0.5 mg,0.010 mg,0.017 mg,0.363 mg,0.018 mg,0,0,8.00 mg,0.16 mg,1.29 g,0.11 mg
849,taco seasoning,100 g,9381.00 IU,0,0,45.0 mg,0,0,0,0,0,0,0,6.75 mg,0.00 g,0
693,velveeta cheese,100 g,220.00 IU,22.00 IU,0.26 mg,0.0 mg,0.020 mg,0.209 mg,0.032 mg,0.047 mg,1.38 mcg,0.00 mcg,680.00 mg,0.47 mg,21.44 g,2.94 mg
2358,tortilla chips,100 g,158.00 IU,0.00 IU,2.97 mg,0.0 mg,0.130 mg,0.043 mg,1.498 mg,0.202 mg,0.00 mcg,0.00 mcg,104.00 mg,1.32 mg,6.62 g,1.46 mg
687,mixed mushrooms,100 g,0.00 IU,10.00 IU,0.02 mg,0.0 mg,0.059 mg,0.130 mg,4.494 mg,0.148 mg,0.05 mcg,0.00 mcg,3.00 mg,0.31 mg,2.11 g,0.53 mg
48,sunflower oil,100 g,3069.00 IU,0.00 IU,2.80 mg,0.0 mg,0.001 mg,0.005 mg,0.003 mg,0.001 mg,0.01 mcg,0.00 mcg,4.00 mg,0.00 mg,0.28 g,0.01 mg
152,sweet onions,100 g,1218.00 IU,0.00 IU,0.58 mg,1.0 mg,0.000 mg,0.033 mg,0.233 mg,0.015 mg,0.00 mcg,0.00 mcg,3.00 mg,0.87 mg,0.37 g,0.14 mg
730,corn flakes,100 g,212.00 IU,0.00 IU,0.00 mg,0,2.020 mg,2.600 mg,4.800 mg,0.600 mg,0.00 mcg,0,0,13.30 mg,7.50 g,1.00 mg
58,smoked oysters,100 g,80.00 IU,34.00 IU,0.55 mg,0.0 mg,0.047 mg,0.049 mg,5.073 mg,0.400 mg,1.60 mcg,0.00 mcg,49.00 mg,1.40 mg,25.23 g,0.50 mg
701,triscuit crackers,100 g,3571.00 IU,0.00 IU,8.05 mg,50.5 mg,0.350 mg,0.330 mg,4.050 mg,0.120 mg,0.00 mcg,70.00 mcg,41.00 mg,4.20 mg,8.40 g,0.90 mg
10,fish sauce,100 g,313.00 IU,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
354,rice noodles,100 g,0.00 IU,0.00 IU,0.11 mg,0.0 mg,0.031 mg,0.017 mg,0.221 mg,0.015 mg,0.00 mcg,0.00 mcg,18.00 mg,0.70 mg,5.95 g,0.74 mg
277,baby carrots,100 g,13790.00 IU,0.00 IU,0,2.6 mg,0.030 mg,0.036 mg,0.556 mg,0.105 mg,0.00 mcg,0.00 mcg,32.00 mg,0.89 mg,0.64 g,0.17 mg
